#Iso		Abu		Error		rel. Error
# from Kadonis 25.5.2012
RE185(n,g)	1.5350e+3	6.2000e+1	4.0%
RE186(n,g)	1.5500e+3	2.5000e+2	16.1%
RE187(n,g)	1.1600e+3	5.7000e+1	4.9%
OS184(n,g)	5.9000e+2	3.9000e+1	6.6%
OS186(n,g)	4.1000e+2	1.7000e+1	4.1%
OS187(n,g)	9.6600e+2	3.1000e+1	3.2%
OS188(n,g)	2.9300e+2	1.4000e+1	4.8%
OS189(n,g)	1.1680e+3	4.7000e+1	4.0%
OS190(n,g)	2.7400e+2	1.2000e+1	4.4%
OS191(n,g)	1.2900e+3	2.8000e+2	21.7%
OS192(n,g)	1.5500e+2	7.0000e+0	4.5%
IR191(n,g)	1.3500e+3	4.3000e+1	3.2%
IR192(n,g)	2.0800e+3	4.5000e+2	21.6%
IR193(n,g)	9.9400e+2	7.0000e+1	7.0%
PT190(n,g)	5.0800e+2	4.4000e+1	8.7%
PT192(n,g)	5.9000e+2	1.2000e+2	20.3%
PT193(n,g)	1.1230e+3	2.4000e+2	21.4%
PT194(n,g)	3.6500e+2	8.5000e+1	23.3%
PT195(n,g)	8.6000e+2	2.0000e+2	23.3%
PT196(n,g)	1.8300e+2	1.6000e+1	8.7%
PT198(n,g)	9.2200e+1	4.6000e+0	5.0%
AU197(n,g)	5.8200e+2	9.0000e+0	1.5%
AU198(n,g)	8.4000e+2	1.4700e+2	17.5%
HG196(n,g)	2.0400e+2	8.0000e+0	3.9%
HG198(n,g)	1.7300e+2	1.5000e+1	8.7%
HG199(n,g)	3.7400e+2	2.3000e+1	6.1%
HG200(n,g)	1.1500e+2	1.2000e+1	10.4%
HG201(n,g)	2.6400e+2	1.4000e+1	5.3%
HG202(n,g)	6.3200e+1	1.9000e+0	3.0%
HG203(n,g)	9.8000e+1	1.7000e+1	17.3%
HG204(n,g)	4.2000e+1	4.0000e+0	9.5%
TL203(n,g)	1.2400e+2	8.0000e+0	6.5%
TL204(n,g)	2.1500e+2	3.8000e+1	17.7%
TL205(n,g)	5.4000e+1	4.0000e+0	7.4%
PB204(n,g)	8.1000e+1	2.3000e+0	2.8%
PB205(n,g)	1.2500e+2	2.2000e+1	17.6%
PB206(n,g)	1.4500e+1	3.0000e-1	2.1%
PB207(n,g)	9.9000e+0	5.0000e-1	5.1%
PB208(n,g)	3.6000e-1	3.0000e-2	8.3%
BI209(n,g)	2.5600e+0	3.0000e-1	11.7%
BI210(n,g)	6.0000e+0	5.0000e+0	83.3%
# rates from papers
# below from Z. Phys.A - AtomicNuclei 330, 167-172 (1988)
N  14(n,p)	8.1000e-1	5.0000e-3	6.2%
# below from Phys. Rev. C 72, 062801(R) (2005)
C  13(a,n)	unknownnn	unknownnn	4.0%
#decays from http://www.nndc.bnl.gov/ensdf
KR 85(-,g)	1.0756e+1y	1.80e-2y	0.2%
SE 79(-,g)	2.9500e+5y	3.80e+4y	12.9%
C  14(-,g)	5.7000e+3y	3.00e+1y	0.5%
AR 39(-,g)	2.6900e+2y	3.00e+0y	1.1%
CA 45(-,g)	1.6261e+2d	9.00e-2d	0.1%
NI 63(-,g)	1.0120e+2y	1.50e+0y	1.5%
CU 64(-,g)	1.2701e+1h	2.00e-3h	0.0%
GA 70(-,g)	2.1140e+1m	3.00e-2m	0.1%
